# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	20166
#@/user_id	Mac
a 	啊	c=29 d=0.0857962 t=20166
yao chi 	要喫	c=0 d=1.32768e-12 t=20166
yao chi mi fan 	要喫米飯	c=1 d=1.33434e-11 t=20166
yao chong 	要衝	c=0 d=9.71272e-12 t=20166
yao chong dian 	要衝點	c=1 d=9.7614e-11 t=20166
yao chu li 	要處理	c=1 d=8.75204e-21 t=20166
yao cong 	要從	c=1 d=4.99244e-05 t=20166
yao da cheng 	要達成	c=1 d=1.80148e-13 t=20166
yao dai 	要帶	c=1 d=3.46869e-15 t=20166
yao deng 	要等	c=1 d=0.0939493 t=20166
yao dui 	要對	c=1 d=1.13273e-25 t=20166
yao e zi 	妖蛾子	c=1 d=4.84227e-28 t=20166
yao gan 	要幹	c=1 d=4.06003e-14 t=20166
yao jia ban 	要加班	c=1 d=0.000347519 t=20166
yao kai ju 	要開局	c=1 d=3.17014e-15 t=20166
yao kan 	要看	c=1 d=0.0225956 t=20166
yao kao lv 	要考慮	c=2 d=0.000596161 t=20166
yao lai 	要來	c=2 d=4.11999e-10 t=20166
yao lai shen zhen 	要來深圳	c=1 d=2.3155e-25 t=20166
yao lai wo zhe bian 	要來我這邊	c=1 d=7.69716e-10 t=20166
yao mai 	要買	c=1 d=2.10823e-10 t=20166
yao me 	要麼	c=11 d=1.22e-08 t=20166
yao me da san 	要麼打傘	c=1 d=9.27082e-22 t=20166
yao pan duan 	要判斷	c=1 d=3.06006e-11 t=20166
yao qian 	要錢	c=1 d=0.000854495 t=20166
yao qiu 	要求	c=16 d=0.00138785 t=20166
yao qu ma 	要去嗎	c=1 d=4.95556e-06 t=20166
yao rang 	要讓	c=1 d=4.0783e-08 t=20166
yao shi 	要是	c=1 d=0.0103063 t=20166
yao shi bu shi 	要是不是	c=1 d=1.39576e-11 t=20166
yao shuo 	要說	c=1 d=1.9657e-10 t=20166
yao su 	要素	c=2 d=3.0448e-11 t=20166
yao wan 	藥丸	c=1 d=5.9216e-13 t=20166
yao wei 	要爲	c=1 d=4.80159e-17 t=20166
yao xi 	妖西	c=1 d=3.05528e-22 t=20166
yao xiang 	要想	c=2 d=0.384812 t=20166
yao xiao hai 	要小孩	c=1 d=2.50452e-07 t=20166
yao xuan ze 	要選擇	c=1 d=1.46353e-10 t=20166
yao xue xi 	要学习	c=1 d=2.37049e-07 t=20166
yao yi 	要以	c=1 d=0.000202454 t=20166
yao yong 	要用	c=1 d=8.14344e-26 t=20166
yao you 	要有	c=2 d=1.47392e-05 t=20166
yao zhu 	要住	c=1 d=5.20504e-25 t=20166
yao zhu hao jiu 	要煮好久	c=1 d=3.62267e-26 t=20166
yao zou 	要走	c=1 d=2.35947e-11 t=20166
yao zou yi duan 	要走一段	c=1 d=2.17392e-18 t=20166
yao zuo 	要做	c=1 d=1.56341e-22 t=20166
yao zuo de 	要做的	c=1 d=5.36538e-29 t=20166
ye 	也	c=43 d=0.86619 t=20166
ye 	耶	c=1 d=0.00118265 t=20166
ye an zhao 	也按照	c=1 d=3.60718e-05 t=20166
ye bang ni 	也幫你	c=1 d=1.6306e-17 t=20166
ye bie 	也別	c=1 d=1.34729e-07 t=20166
ye bu 	也不	c=2 d=1.72749e-10 t=20166
ye bu bi 	也不必	c=1 d=4.2345e-09 t=20166
ye bu cha 	也不差	c=4 d=1.10915e-11 t=20166
ye bu cuo 	也不錯	c=2 d=4.05369e-25 t=20166
ye bu dui 	也不對	c=1 d=0.0569831 t=20166
ye bu gui la 	也不貴啦	c=1 d=0.0127147 t=20166
ye bu hui 	也不會	c=2 d=1.93611e-08 t=20166
ye bu neng 	也不能	c=1 d=0.0925506 t=20166
ye bu pian yi 	也不便宜	c=1 d=6.88694e-25 t=20166
ye bu tai nan 	也不太難	c=1 d=5.68941e-13 t=20166
ye bu yi dei 	也不一得	c=1 d=2.49203e-07 t=20166
ye bu zai 	也不在	c=1 d=1.45573e-06 t=20166
ye chu lai le 	也出來了	c=1 d=8.72796e-18 t=20166
ye chu qu 	也出去	c=1 d=4.40732e-09 t=20166
ye chu xian 	也出現	c=1 d=9.10147e-11 t=20166
ye dei 	也得	c=1 d=2.4001e-06 t=20166
ye ding yi 	也定義	c=1 d=6.625e-10 t=20166
ye fa xian 	也發現	c=1 d=0.0141931 t=20166
ye fa xian le 	也發現了	c=1 d=2.22744e-10 t=20166
ye hai xing 	也還行	c=1 d=0.00151463 t=20166
ye hai xing ba 	也還行吧	c=1 d=0.0152222 t=20166
ye hen 	也很	c=1 d=1.41319e-10 t=20166
ye hen shao 	也很少	c=1 d=2.56836e-09 t=20166
ye hui 	也會	c=2 d=0.000314351 t=20166
ye hui da 	也會大	c=1 d=4.56586e-13 t=20166
ye jiu 	也就	c=2 d=2.17695e-05 t=20166
ye jiu shi 	也就是	c=2 d=1.19824e-10 t=20166
ye jiu shi shuo 	也就是說	c=6 d=0.130095 t=20166
ye jue de 	也覺得	c=1 d=1.89287e-07 t=20166
ye kan dao le 	也看到了	c=1 d=5.91033e-20 t=20166
ye kan kan 	也看看	c=2 d=0.000231716 t=20166
ye kan le yi ge 	也看了一個	c=1 d=7.12497e-13 t=20166
ye ke yi 	也可以	c=5 d=0.00440714 t=20166
ye lei si 	也類似	c=1 d=9.03885e-18 t=20166
ye mei 	也沒	c=3 d=0.000266536 t=20166
ye mei duo shao qian 	也沒多少錢	c=1 d=1.23771e-09 t=20166
ye mei gei ni shuo 	也沒給你說	c=1 d=0.00494193 t=20166
ye mei rang qu 	也沒讓去	c=1 d=7.09306e-19 t=20166
ye mei you 	也沒有	c=2 d=1.35503e-07 t=20166
ye mian 	頁面	c=2 d=8.63817e-14 t=20166
ye neng 	也能	c=2 d=3.37075e-13 t=20166
ye rong yi li jie 	也容易理解	c=1 d=4.0446e-28 t=20166
ye shi 	也是	c=22 d=0.064369 t=20166
ye shi ge 	也是個	c=1 d=1.68547e-24 t=20166
ye shi li yong lv 	也是利用率	c=1 d=3.8275e-26 t=20166
ye shi wo 	也是我	c=1 d=4.14628e-26 t=20166
ye shuo le 	也說了	c=1 d=9.72099e-21 t=20166
ye tai di le 	也太低了	c=1 d=3.20309e-19 t=20166
ye ting 	也挺	c=0 d=0.00963276 t=20166
ye ting fei jin 	也挺費勁	c=1 d=0.0968105 t=20166
ye wu 	業務	c=29 d=0.00634934 t=20166
ye wu ke yong qu 	業務可用區	c=1 d=9.47613e-15 t=20166
ye wu liang 	業務量	c=1 d=2.26187e-14 t=20166
ye wu xi tong 	業務系統	c=1 d=4.66697e-06 t=20166
ye xi huan 	也喜歡	c=1 d=6.15049e-18 t=20166
ye xing 	也行	c=7 d=0.323812 t=20166
ye xu 	也許	c=7 d=0.000233028 t=20166
ye yao 	也要	c=2 d=1.34337e-07 t=20166
ye yin wei 	也因爲	c=1 d=0.00029902 t=20166
ye ying 	夜鶯	c=1 d=2.1463e-44 t=20166
ye you 	也有	c=6 d=1.50007e-06 t=20166
ye you dian 	也有點	c=1 d=3.197e-26 t=20166
ye zai 	也在	c=4 d=3.38949e-08 t=20166
ye zai nong 	也在弄	c=1 d=1.59445e-18 t=20166
ye zai zuo 	也在做	c=1 d=3.58053e-06 t=20166
ye zhao dian 	也找點	c=1 d=3.72336e-25 t=20166
ye zheng 	也正	c=0 d=3.19211e-09 t=20166
ye zheng yin wei 	也正因爲	c=1 d=3.20811e-08 t=20166
ye zhi you 	也只有	c=1 d=1.09358e-23 t=20166
ye zhuan huan guo le 	也轉換過了	c=1 d=1.33067e-08 t=20166
yi 	一	c=7 d=0.159102 t=20166
yi 	以	c=20 d=0.735851 t=20166
yi ban 	一半	c=1 d=1.23557e-18 t=20166
yi ban 	一版	c=0 d=1.30992e-30 t=20166
yi ban 	一般	c=5 d=5.90062e-05 t=20166
yi bei 	一杯	c=0 d=0.00645703 t=20166
yi ben 	一本	c=1 d=0.0958472 t=20166
yi bi 	一比	c=1 d=2.65893e-05 t=20166
yi bi yi 	一比一	c=1 d=9.63932e-10 t=20166
yi bian 	一邊	c=1 d=6.39496e-06 t=20166
yi bu fen 	一部分	c=8 d=0.0015415 t=20166
yi ceng 	一層	c=0 d=1.06495e-06 t=20166
yi chang 	一長	c=1 d=6.42921e-10 t=20166
yi chang 	異常	c=4 d=0.000212284 t=20166
yi chang mo shi 	異常模式	c=1 d=0.00213348 t=20166
yi chu 	一處	c=1 d=4.04748e-07 t=20166
yi ci 	一次	c=6 d=0.00116683 t=20166
yi ci xing 	一次型	c=1 d=0.000320701 t=20166
yi dai yi lu 	一帶一路	c=1 d=0.444858 t=20166
yi dao 	一道	c=1 d=9.05916e-15 t=20166
yi dian 	一點	c=4 d=0.00141931 t=20166
yi ding 	一定	c=1 d=1.37807e-08 t=20166
yi ding gao du shang 	一定高度上	c=1 d=6.09033e-20 t=20166
yi dong 	易懂	c=1 d=8.81268e-14 t=20166
yi dong 	移動	c=6 d=6.74469e-08 t=20166
yi du 	已讀	c=1 d=3.61898e-14 t=20166
yi duan 	一段	c=0 d=3.63588e-11 t=20166
yi duan shi jian 	一段時間	c=1 d=3.17564e-06 t=20166
yi duan shi jian le 	一段時間了	c=1 d=6.53193e-20 t=20166
yi dui 	一堆	c=1 d=1.51958e-11 t=20166
yi dun 	一頓	c=0 d=3.6541e-11 t=20166
yi fang 	一方	c=1 d=3.19428e-16 t=20166
yi fang yi ting 	一房一廳	c=2 d=1.70858e-24 t=20166
yi fen 	一份	c=4 d=0.0051953 t=20166
yi ge 	一個	c=103 d=3.85592 t=20166
yi ge dian 	一個點	c=1 d=6.35096e-13 t=20166
yi ge mo xing 	一個模型	c=1 d=4.17572e-21 t=20166
yi ge yi ge 	一個一個	c=1 d=1.6904e-29 t=20166
yi gei 	泄給	c=1 d=0.000303539 t=20166
yi gong 	一共	c=2 d=0.00249786 t=20166
yi ha 	一哈	c=2 d=2.71265e-05 t=20166
yi hou 	以後	c=4 d=0.414837 t=20166
yi hui shi 	一回事	c=1 d=0.045275 t=20166
yi ji 	以及	c=3 d=0.0156076 t=20166
yi ji 	遺跡	c=1 d=8.47289e-22 t=20166
yi jia 	一家	c=1 d=2.20888e-25 t=20166
yi jian 	一件	c=1 d=0.45612 t=20166
yi jian 	意見	c=2 d=0.00182243 t=20166
yi jing 	已經	c=25 d=0.864216 t=20166
yi ju 	一句	c=1 d=0.582748 t=20166
yi ju 	依據	c=1 d=1.21382e-15 t=20166
yi kai 	一開	c=1 d=0.000281606 t=20166
yi kai shi 	一開始	c=5 d=1.5712e-06 t=20166
yi kuan 	一款	c=1 d=1.39528e-07 t=20166
yi lai 	依賴	c=2 d=6.45133e-21 t=20166
yi lan 	一籃	c=1 d=0.000347412 t=20166
yi lan zi 	一攬子	c=1 d=7.82971e-05 t=20166
yi liao 	醫療	c=1 d=0.00106477 t=20166
yi lun 	一輪	c=1 d=0.00676686 t=20166
yi lv 	疑慮	c=1 d=9.07797e-10 t=20166
yi mu liao ran 	一目了然	c=1 d=3.00151e-19 t=20166
yi nian 	一年	c=1 d=0.000569928 t=20166
yi pian 	一篇	c=2 d=6.23707e-06 t=20166
yi qi 	一起	c=11 d=5.4626e-05 t=20166
yi qian 	以前	c=28 d=1.86792 t=20166
yi qie 	一切	c=1 d=5.38311e-09 t=20166
yi qing 	移情	c=1 d=5.28837e-06 t=20166
yi quan 	一圈	c=1 d=1.18748e-28 t=20166
yi ran 	依然	c=3 d=1.76147e-06 t=20166
yi ri 	翌日	c=1 d=1.88664e-27 t=20166
yi shi 	意識	c=2 d=0.118245 t=20166
yi shi dao 	意識到	c=1 d=0.373128 t=20166
yi shu 	藝術	c=1 d=3.56874e-26 t=20166
yi shu chu 	一輸出	c=1 d=2.64469e-30 t=20166
yi shuo 	一說	c=0 d=3.7498e-21 t=20166
yi si 	一絲	c=0 d=1.74253e-05 t=20166
yi si 	意思	c=8 d=0.000958635 t=20166
yi si le 	一絲了	c=1 d=0.000175127 t=20166
yi tao 	一套	c=2 d=0.0808629 t=20166
yi tian 	一天	c=4 d=0.0985787 t=20166
yi tian liang tian 	一天兩天	c=1 d=0.697676 t=20166
yi tiao 	一條	c=3 d=0.615697 t=20166
yi tui 	一腿	c=0 d=0.00376283 t=20166
yi tui zi 	一腿字	c=1 d=0.0378169 t=20166
yi wei 	以爲	c=10 d=7.3753e-07 t=20166
yi wei zhe 	意味着	c=1 d=2.09736e-08 t=20166
yi xia 	一下	c=21 d=0.0990911 t=20166
yi xia 	以下	c=2 d=3.44078e-27 t=20166
yi xia le 	一下了	c=1 d=1.58321e-23 t=20166
yi xiang 	一項	c=1 d=3.57259e-08 t=20166
yi xiao hui 	一小會	c=1 d=0.00591656 t=20166
yi xie 	一些	c=20 d=0.427486 t=20166
yi yan 	一眼	c=0 d=2.28538e-19 t=20166
yi yang 	一樣	c=24 d=1.03667 t=20166
yi yi 	意義	c=2 d=5.96262e-06 t=20166
yi yi dui ying 	一一對應	c=1 d=8.43207e-24 t=20166
yi you wei jin 	意猶未盡	c=1 d=2.70841e-16 t=20166
yi yuan 	一元	c=6 d=0.273914 t=20166
yi yuan 	醫院	c=3 d=5.56384e-05 t=20166
yi zha yan 	一眨眼	c=1 d=0.0658748 t=20166
yi zhang 	一張	c=0 d=1.05744e-11 t=20166
yi zhang 	一章	c=1 d=5.53179e-06 t=20166
yi zhi 	一直	c=10 d=6.16675e-06 t=20166
yi zhi 	一致	c=7 d=2.76296e-09 t=20166
yi zhi 	已知	c=1 d=1.51514e-06 t=20166
yi zhi dou zai 	一直都在	c=1 d=0.0238732 t=20166
yi zhi xing 	一致性	c=1 d=2.1863e-26 t=20166
yi zhi yan yong 	一直沿用	c=1 d=5.62896e-05 t=20166
yi zhong 	一種	c=23 d=1.11071 t=20166
yi zhou 	一週	c=1 d=4.65651e-09 t=20166
yi zu 	一族	c=1 d=2.96499e-22 t=20166
yi zu 	一組	c=1 d=2.97985e-22 t=20166
yin 	因	c=1 d=2.58747e-08 t=20166
yin cha 	飲茶	c=1 d=1.42371e-09 t=20166
yin chuan 	銀川	c=1 d=0.0010333 t=20166
yin ci 	因此	c=8 d=0.000497968 t=20166
yin fa 	引發	c=1 d=1.90826e-14 t=20166
yin han 	隱含	c=1 d=1.14926e-19 t=20166
yin hang 	銀行	c=4 d=1.16351e-07 t=20166
yin hang ka 	銀行卡	c=4 d=0.00139482 t=20166
yin lian 	銀聯	c=8 d=0.000469437 t=20166
yin liao 	飲料	c=1 d=9.25161e-27 t=20166
yin qi 	引起	c=3 d=0.715338 t=20166
yin qing 	引擎	c=4 d=3.44889e-06 t=20166
yin ru 	引入	c=5 d=0.425283 t=20166
yin shi 	銀實	c=0 d=1.11453e-12 t=20166
yin si 	隱私	c=5 d=1.48156e-07 t=20166
yin su 	因素	c=3 d=2.32315e-05 t=20166
yin wei 	因爲	c=30 d=0.27477 t=20166
yin xiang 	印相	c=0 d=1.04674e-09 t=20166
yin xiang 	印象	c=4 d=3.6159e-05 t=20166
yin xiang bi ji 	印相筆記	c=3 d=4.59418e-08 t=20166
yin xiang bi ji 	印象筆記	c=1 d=1.44149e-08 t=20166
yin yang 	阴阳	c=1 d=5.49934e-25 t=20166
yin yong 	引用	c=0 d=1.60856e-05 t=20166
yin yong le 	引用了	c=1 d=0.000161662 t=20166
ying 	應	c=1 d=1.91157e-05 t=20166
ying 	英	c=1 d=3.9387e-10 t=20166
ying 	贏	c=0 d=3.29044e-13 t=20166
ying dang 	應當	c=1 d=7.7518e-05 t=20166
ying dui 	應對	c=2 d=1.10097e-14 t=20166
ying gai 	應該	c=35 d=0.0960789 t=20166
ying gai bu 	應該不	c=1 d=9.8374e-14 t=20166
ying gai hao le 	應該好了	c=1 d=0.000185029 t=20166
ying gai mei you 	應該沒有	c=1 d=0.965605 t=20166
ying gai shi 	應該是	c=1 d=1.99541e-10 t=20166
ying gai zen me ban 	應該怎麼辦	c=1 d=2.56347e-16 t=20166
ying geng 	應更	c=1 d=1.06e-09 t=20166
ying gong 	应供	c=6 d=0.0172227 t=20166
ying guo 	英國	c=1 d=2.72625e-05 t=20166
ying ji 	應急	c=5 d=0.0041428 t=20166
ying ji shou duan 	應急手段	c=1 d=9.19607e-15 t=20166
ying ji xiang ying 	應急響應	c=3 d=7.60089e-09 t=20166
ying jian 	硬件	c=3 d=4.30541e-10 t=20166
ying she 	映射	c=0 d=1.757e-14 t=20166
ying she zai 	映射在	c=1 d=1.7658e-13 t=20166
ying wen 	英文	c=4 d=2.73002e-06 t=20166
ying xiang 	影響	c=3 d=0.00180897 t=20166
ying yong 	應用	c=18 d=1.19696 t=20166
yo 	喲	c=1 d=2.11405e-13 t=20166
yong 	用	c=85 d=2.42849 t=20166
yong bi 	用筆	c=1 d=9.98097e-08 t=20166
yong bu 	用不	c=1 d=7.74364e-22 t=20166
yong de 	用的	c=9 d=0.0110536 t=20166
yong fa 	用法	c=0 d=6.67431e-10 t=20166
yong guo 	用過	c=3 d=0.0064094 t=20166
yong guo mei 	用過沒	c=1 d=2.83114e-08 t=20166
yong hu 	用戶	c=7 d=8.70516e-11 t=20166
yong hu ming 	用戶名	c=2 d=0.197425 t=20166
yong kong 	用空	c=1 d=1.33779e-12 t=20166
yong lai 	用來	c=11 d=0.121846 t=20166
yong lai zuo shen me 	用來做什麼	c=1 d=5.48701e-28 t=20166
yong le 	永樂	c=1 d=2.45192e-22 t=20166
yong le 	用了	c=2 d=0.00245409 t=20166
yong le ma 	用了嗎	c=1 d=0.634448 t=20166
yong li 	用例	c=1 d=9.35125e-06 t=20166
yong ri li 	用日曆	c=1 d=9.71768e-17 t=20166
yong sha 	用啥	c=2 d=0.0229371 t=20166
yong shen me 	用什麼	c=1 d=1.35331e-30 t=20166
yong shi 	勇士	c=1 d=1.39937e-12 t=20166
yong tu 	用途	c=1 d=4.97346e-19 t=20166
yong wo men 	用我們	c=1 d=9.74283e-18 t=20166
yong yi duan shi jian 	用一段時間	c=1 d=9.68074e-31 t=20166
yong yi zhang 	用一張	c=1 d=5.35153e-28 t=20166
yong yong 	用用	c=1 d=3.46574e-05 t=20166
yong you 	擁有	c=3 d=3.05275e-06 t=20166
yong yu 	用於	c=1 d=8.25667e-12 t=20166
yong yuan 	永遠	c=1 d=0.251579 t=20166
yong zai 	永在	c=1 d=6.74598e-17 t=20166
yong zhong 	臃腫	c=2 d=1.58106e-07 t=20166
you 	優	c=0 d=6.70184e-29 t=20166
you 	又	c=13 d=0.409623 t=20166
you 	有	c=121 d=1.5874 t=20166
you 	油	c=0 d=0.000319873 t=20166
you 	由	c=2 d=0.000235217 t=20166
you a 	有啊	c=2 d=0.000626727 t=20166
you ban fa 	有辦法	c=1 d=7.67859e-11 t=20166
you bu gao 	有不高	c=1 d=3.60031e-12 t=20166
you bu shi 	又不是	c=1 d=2.79812e-17 t=20166
you bu zhi qian 	有不值錢	c=1 d=4.1938e-13 t=20166
you ce 	右側	c=1 d=3.37489e-16 t=20166
you cha cuo 	有差錯	c=1 d=1.1818e-24 t=20166
you cheng yi 	有誠意	c=1 d=1.11993e-09 t=20166
you dao li 	有道理	c=2 d=0.132655 t=20166
you de 	有的	c=2 d=3.0585e-06 t=20166
you de hua 	有的話	c=1 d=6.66275e-18 t=20166
you dian 	優點	c=1 d=0.00597602 t=20166
you dian 	有點	c=15 d=0.236959 t=20166
you dian chi li 	有點喫力	c=1 d=8.15618e-15 t=20166
you dian di 	有點地	c=1 d=0.00759701 t=20166
you dian dian 	有點點	c=1 d=3.08494e-18 t=20166
you dian ma fan 	有點麻煩	c=1 d=1.05489e-11 t=20166
you dian yi si 	有點意思	c=1 d=1.62583e-12 t=20166
you dian zhu yi 	有點注意	c=1 d=1.37474e-09 t=20166
you duan xin 	有短信	c=1 d=1.46757e-13 t=20166
you duo shao ge 	有多少個	c=1 d=2.85561e-21 t=20166
you ge 	有個	c=4 d=0.00767337 t=20166
you gong zuo liu 	有工作流	c=1 d=1 t=20164
you gui lv 	有規律	c=1 d=9.08106e-14 t=20166
you hao 	友好	c=2 d=8.90125e-14 t=20166
you hao chu 	有好處	c=1 d=3.25372e-27 t=20166
you he 	又何	c=1 d=1.32583e-24 t=20166
you hen duo 	有很多	c=1 d=5.88286e-24 t=20166
you hua 	優化	c=2 d=8.40995e-13 t=20166
you hui qu 	又回去	c=1 d=1.17531e-18 t=20166
you ji ge 	有幾個	c=2 d=2.4431e-09 t=20166
you ji hui 	有機會	c=2 d=8.81718e-20 t=20166
you jia 	油價	c=1 d=5.77244e-07 t=20166
you jian 	右鍵	c=2 d=0.00615802 t=20166
you jian du 	有監督	c=2 d=0.000118571 t=20166
you jie guo 	有結果	c=1 d=2.48898e-22 t=20166
you ke neng 	有可能	c=2 d=1.87378e-05 t=20166
you ke yi 	又可以	c=1 d=2.68886e-19 t=20166
you kong 	有空	c=3 d=3.41414e-05 t=20166
you kong bu 	有恐怖	c=1 d=3.93188e-19 t=20166
you kong bu 	有空不	c=2 d=3.36656e-15 t=20166
you kong mei 	有空沒	c=1 d=8.92884e-21 t=20166
you kong tiao 	有空調	c=1 d=5.7337e-16 t=20166
you le 	有了	c=14 d=1.13599 t=20166
you lei si 	有類似	c=1 d=5.93288e-06 t=20166
you liang ge 	有兩個	c=1 d=2.70611e-06 t=20166
you ma 	有碼	c=2 d=3.23363e-13 t=20166
you mei you 	有沒有	c=14 d=0.807005 t=20166
you mei you ren 	有沒有人	c=1 d=7.48901e-11 t=20166
you ming 	有名	c=1 d=1.52533e-26 t=20166
you mu di 	有目的	c=1 d=0.909373 t=20166
you mu you 	有木有	c=1 d=8.6933e-30 t=20166
you na xie 	有哪些	c=2 d=7.27138e-17 t=20166
you nv ren ma 	有女人嗎	c=1 d=0.0426384 t=20166
you o 	有哦	c=1 d=1.06934e-24 t=20166
you pei chang 	有賠償	c=1 d=0.0488012 t=20166
you qian 	有錢	c=1 d=1.72725e-18 t=20166
you qing 	有情	c=1 d=0.00565797 t=20166
you qing ti xing 	有情提醒	c=1 d=0.00516939 t=20166
you qu 	又去	c=1 d=4.56586e-13 t=20166
you ren 	有人	c=5 d=0.000952615 t=20166
you sha 	有啥	c=1 d=2.83944e-13 t=20166
you sha hao shi chai 	有啥好使拆	c=1 d=2.05898e-26 t=20166
you shen me 	有神麼	c=4 d=0.000608204 t=20166
you shi 	優勢	c=3 d=0.0017163 t=20166
you shi 	又是	c=1 d=2.47059e-23 t=20166
you shi 	有事	c=1 d=3.70933e-10 t=20166
you shi 	有時	c=1 d=0.0327124 t=20166
you shi hou 	有時候	c=4 d=0.194679 t=20166
you shi pin 	有視頻	c=1 d=9.98777e-16 t=20166
you shi qing 	有事情	c=1 d=8.66496e-21 t=20166
you shuo fa 	有說法	c=1 d=1.96364e-27 t=20166
you suo 	有所	c=1 d=0.151829 t=20166
you suo huo 	有所獲	c=2 d=9.80314e-16 t=20166
you tian 	有天	c=0 d=9.83405e-11 t=20166
you tian zao shang 	有天早上	c=1 d=9.88334e-10 t=20166
you tui jian 	有推薦	c=1 d=5.93996e-20 t=20166
you wang ji 	有忘記	c=1 d=0.000149981 t=20166
you wei 	尤爲	c=0 d=2.26618e-08 t=20166
you wei zhong yao 	尤爲重要	c=1 d=2.27754e-07 t=20166
you wen ti 	有問題	c=3 d=9.68929e-12 t=20166
you xi 	遊戲	c=4 d=0.00271632 t=20166
you xian 	優先	c=3 d=0.0105188 t=20166
you xian 	有線	c=1 d=5.48141e-16 t=20166
you xian 	有限	c=2 d=5.45407e-16 t=20166
you xian ji 	優先級	c=2 d=2.31755e-06 t=20166
you xiang 	又像	c=1 d=3.46633e-07 t=20166
you xiang 	郵箱	c=1 d=0.0175975 t=20166
you xiao 	有效	c=5 d=3.4051e-14 t=20166
you xie 	有些	c=11 d=0.00912375 t=20166
you xie ren 	有些人	c=1 d=0.118837 t=20166
you xiu 	優秀	c=4 d=4.90118e-19 t=20166
you xu duo 	有許多	c=1 d=1.40371e-19 t=20166
you xue dao le 	又學到了	c=1 d=1.17247e-19 t=20166
you yi bu fen 	有一部分	c=1 d=0.00159641 t=20166
you yi ge 	有一個	c=3 d=1.87015e-05 t=20166
you yi si 	有意思	c=1 d=0.000249118 t=20166
you yi si de 	有意思的	c=1 d=0.00250366 t=20166
you yi xie 	有一些	c=1 d=7.88236e-25 t=20166
you yi zhong 	有一種	c=2 d=0.835872 t=20166
you yong 	有用	c=3 d=7.05048e-07 t=20166
you yong 	游泳	c=1 d=7.12134e-07 t=20166
you you shi 	有優勢	c=1 d=0.017249 t=20166
you you yi xie 	又有一些	c=1 d=0.000713734 t=20166
you yu 	由於	c=1 d=5.87066e-29 t=20166
you zu ai 	有阻礙	c=1 d=1.19555e-13 t=20166
youtube 	YouTube	c=1 d=0.000880518 t=20166
yu 	宇	c=3 d=0.0106663 t=20166
yu 	於	c=9 d=0.000887701 t=20166
yu 	與	c=7 d=1.86873 t=20166
yu 	雨	c=4 d=9.37485e-44 t=20166
yu 	餘	c=3 d=4.63171e-05 t=20166
yu 	魚	c=2 d=0.0724398 t=20166
yu an 	預案	c=1 d=0.0020601 t=20166
yu ce 	預測	c=19 d=0.312163 t=20166
yu ce zhi 	預測值	c=5 d=1.71948e-21 t=20166
yu chu li 	預處理	c=1 d=8.5729e-13 t=20166
yu dao 	遇到	c=2 d=0.108067 t=20166
yu dao de 	遇到的	c=1 d=1.12911e-21 t=20166
yu dao de wen ti 	遇到的問題	c=1 d=1.05052e-21 t=20166
yu ding yi 	預定義	c=2 d=3.06175e-06 t=20166
yu fa 	愚法	c=1 d=7.07956e-26 t=20166
yu fa 	語法	c=1 d=7.53423e-23 t=20166
yu gu 	預估	c=1 d=3.43593e-21 t=20166
yu le xing 	娛樂性	c=1 d=3.31324e-05 t=20166
yu lu 	雨露	c=0 d=4.08955e-12 t=20166
yu lu jun zhan 	雨露均沾	c=1 d=4.11005e-11 t=20166
yu ming 	域名	c=2 d=5.31669e-10 t=20166
yu qi 	預期	c=2 d=6.17606e-08 t=20166
yu qi jie guo 	預期結果	c=1 d=1.05798e-16 t=20166
yu que 	語雀	c=2 d=2.86569e-19 t=20166
yu she 	預設	c=1 d=0.00514361 t=20166
yu shi 	於是	c=1 d=2.56792e-07 t=20166
yu suan 	預算	c=2 d=1.14828e-09 t=20166
yu wang 	慾望	c=1 d=1.68054e-19 t=20166
yu wen ke 	語文課	c=1 d=0.12307 t=20166
yu yan 	語言	c=2 d=1.31086e-08 t=20166
yu yue 	預約	c=5 d=1.56129e-06 t=20166
yuan 	元	c=4 d=0.0137871 t=20166
yuan 	原	c=0 d=0.000180897 t=20166
yuan 	遠	c=1 d=1.89088e-24 t=20166
yuan ben 	原本	c=1 d=1.68289e-06 t=20166
yuan gun gun 	圆滚滚	c=1 d=1.09757e-07 t=20166
yuan jian 	圓肩	c=1 d=0.00051312 t=20166
yuan lai 	原來	c=10 d=0.0298391 t=20166
yuan lai ru ci 	原来如此	c=1 d=0.0397558 t=20166
yuan lai shi 	原來是	c=1 d=2.11003e-20 t=20166
yuan li 	原理	c=1 d=0.000520875 t=20166
yuan shi 	原始	c=20 d=8.85894 t=20166
yuan shi shu ju 	原始數據	c=4 d=4.91121e-05 t=20166
yuan wen 	原文	c=1 d=1.18e-06 t=20166
yuan wen 	愿文	c=1 d=1.17411e-06 t=20166
yuan xi tong 	原系統	c=1 d=0.00181803 t=20166
yuan yi 	願意	c=1 d=1.97381e-29 t=20166
yuan yin 	原因	c=6 d=0.0194642 t=20166
yuan yu 	源於	c=1 d=0.224249 t=20166
yuan ze 	原則	c=2 d=0.0017603 t=20166
yuan zi 	源自	c=1 d=2.66899e-20 t=20166
yue 	月	c=8 d=0.00433051 t=20166
yue 	約	c=1 d=0.275271 t=20166
yue 	越	c=7 d=5.64717e-08 t=20166
